descripcion,monto,categoria,es_gasto_hormiga
microsoft 365 octubre,42900,Susc.,False
cuota crédito davivienda,200000,Fijos,False
picada con los parces,40320,Salidas,True
freelance fotografía,350000,Ingresos,False
mesada universitaria septiembre,700000,Ingresos,False
crepes and waffles,55000,Salidas,True
globos y decoración,53372,Salidas,False
semestre universidad nacional,500000,Fijos,False
maquillaje mac,238108,Salidas,False
regalo dia de la madre,164661,Salidas,False
lavaplatos axion,12000,Salidas,True
cafe en starbucks,6846,Salidas,True
gaseosa de pipián,2942,Salidas,True
cervecita con la comida,8000,Salidas,True
tenis nike,398375,Salidas,False
cuota hipoteca scotiabank,800000,Fijos,False
arriendo del apartamento febrero,950000,Fijos,False
propinas bartender,250000,Ingresos,False
quincena noviembre,1000000,Ingresos,False
prime video agosto,14900,Susc.,False
honorarios traducciones mayo,500000,Ingresos,False
disney plus mayo,21900,Susc.,False
cerveza poker con parce,6625,Salidas,True
helado de arequipe,7490,Salidas,True
remesas exterior septiembre,2000000,Ingresos,False
pensión vejez junio,2000000,Ingresos,False
regalo papa noel niños quincenal,244500,Salidas,False
tiquete san andres,540137,Salidas,False
onces jueves,9198,Salidas,True
declaracion de renta,250000,Fijos,False
venta mercado libre diciembre,300000,Ingresos,False
salario medico eps,5000000,Ingresos,False
indriver al el banco,19100,Salidas,True
metro en medellin,3000,Salidas,True
payaso para la fiesta,200000,Salidas,False
servicio tecnico celular,106476,Salidas,False
ingreso extra traducciones,500000,Ingresos,False
buseta a el éxito,2090,Salidas,True
metro de las mañana,3638,Salidas,True
arepa con huevo,5528,Salidas,True
juguetes navidad del mes,373603,Salidas,False
bono productividad noviembre,350000,Ingresos,False
netflix estándar mayo,29900,Susc.,False
maquillaje mac,289559,Salidas,False
picada con los parces,44005,Salidas,True
tenis adidas semanal,294390,Salidas,False
hostal en santa marta,120000,Salidas,True
carne para el asado,97105,Salidas,False
prime video enero,14900,Susc.,False
cuota tarjeta daviplata,300000,Fijos,False
pension colegio diciembre,250000,Fijos,False
sorpresa cumpleaños,180000,Salidas,False
buñuelo de mediodía,2579,Salidas,True
pension universidad marzo,1800000,Fijos,False
propina domicilio,2761,Salidas,True
piñata semanal,60081,Salidas,False
margarina,7000,Salidas,True
buñuelo de las 8,2334,Salidas,True
cuota hipoteca banco de bogotá,1400000,Fijos,False
venta ropa usada,50000,Ingresos,False
rosca de reyes,36276,Salidas,False
seguro soat abril,75000,Fijos,False
cena domingo,31333,Salidas,True
adornos navideños,103235,Salidas,False
papas fritas caseras,6000,Salidas,True
desayuno sábado,15118,Salidas,True
pago eps abril,280000,Fijos,False
icloud 50gb febrero,19900,Susc.,True
metro de las antes de almuerzo,3670,Salidas,True
suscripcion booking com,0,Susc.,False
vacuna mascota,82712,Salidas,False
cochinillo regional,450000,Salidas,False
clases particulares ingles,400000,Ingresos,False
uber desde la terminal,18129,Salidas,True
lonchera del niño jueves,9235,Salidas,True
torta de cumpleaños,80803,Salidas,False
gaseosa de pollo,4334,Salidas,True
mercado a los papas,123616,Salidas,False
disney plus febrero,17900,Susc.,False
gym spinning club septiembre,100000,Susc.,False
mecato de las 8,5499,Salidas,True
comision febrero,1000000,Ingresos,False
recarga celular etb,7853,Salidas,True
internet movistar enero,69900,Fijos,False
hbo max enero,35900,Susc.,False
pizza dominos para la casa,45344,Salidas,False
arriendos recibidos diciembre,800000,Ingresos,False
regalo de grado,311209,Salidas,False
recibo luz abril,153279,Fijos,False
arriendo noviembre,900000,Fijos,False
pizza dominos quincenal,49109,Salidas,False
hotel en cartagena noche,343814,Salidas,False
cena martes,22710,Salidas,True
tenis balenciaga,950000,Salidas,False
hbo max junio,23900,Susc.,False
plataforma estudio enero,35000,Susc.,False
tinto mañana,2006,Salidas,True
devolución iva julio,100000,Ingresos,False
lonchera del niño martes,18203,Salidas,True
seguro vida octubre,50000,Fijos,False
aporte pensión diciembre,295000,Fijos,False
aporte pensión junio,150000,Fijos,False
dulces tienda semana,2977,Salidas,True
domicilio glovo cena,26252,Salidas,True
venta carro,50000,Ingresos,False
adobe creative cloud,139000,Susc.,False
arriendo arriendo enero,1200000,Fijos,False
torta de cumpleaños,80481,Salidas,False
dominio y hosting enero,50000,Susc.,False
ancheta navideña,170236,Salidas,False
curso udemy,61737,Salidas,False
picada con los parces,91003,Salidas,True
microsoft 365 noviembre,42900,Susc.,False
vpn básico mensual,35000,Susc.,True
lotería viernes,2564,Salidas,True
pescado fresco,31387,Salidas,False
lapiceros y marcadores,15000,Salidas,True
pension universidad mayo,1800000,Fijos,False
asado con amigos,250000,Salidas,False
daviplata transferencia,167115,Salidas,False
sarten,83597,Salidas,False
aporte pensión octubre,295000,Fijos,False
dulces tienda semana,2142,Salidas,True
agua manantial,3000,Salidas,True
seguro vida mayo,85000,Fijos,False
milo en lata,28000,Salidas,True
aporte pensión julio,295000,Fijos,False
honorarios asesoría marzo,1500000,Ingresos,False
recibo gas enero,56557,Fijos,False
lavado en lavanderí a,33959,Salidas,False
yuca y platano semanal semanal,20790,Salidas,False
gaseosa de carne,2259,Salidas,True
chatgpt plus junio,65000,Susc.,True
administración edificio marzo,250000,Fijos,False
pension colegio noviembre,250000,Fijos,False
chatgpt plus septiembre,65000,Susc.,True
recibo luz octubre,167572,Fijos,False
domicilio glovo hamburguesa,37682,Salidas,True
almuerzo jueves,24860,Salidas,True
recarga celular movistar,6706,Salidas,True
remesas exterior junio,500000,Ingresos,False
recibo acueducto marzo,61862,Fijos,False
prestamo gota a gota,100000,Fijos,False
pandebono lunes,2986,Salidas,True
mesada universitaria agosto,700000,Ingresos,False
dulces tienda martes,2387,Salidas,True
taxi al la farmacia,15410,Salidas,True
ingreso uber driver abril,1000000,Ingresos,False
collar y correa,35000,Salidas,False
raspa y gana,9797,Salidas,True
bono productividad agosto,1000000,Ingresos,False
prime video marzo,14900,Susc.,False
alquiler de sillas y mesas,200613,Salidas,False
lotería viernes,3711,Salidas,True
buscapina,12000,Salidas,True
venta electrodoméstico,150000,Ingresos,False
mercado en jumbo,280000,Salidas,False
sitp bogota,2950,Salidas,True
cuota hipoteca nequi,1800000,Fijos,False
plan celular etb,39900,Fijos,False
seguro vida julio,65000,Fijos,False
beca estudio octubre,500000,Ingresos,False
concierto maluma,372883,Salidas,False
papas salchipapa sábado,9770,Salidas,True
recibo luz enero,87553,Fijos,False
buñuelo de mediodía,1261,Salidas,True
piñata para el trabajo,50364,Salidas,False
freelance edición,350000,Ingresos,False
chance miércoles,7030,Salidas,True
venta cosas de la casa,150000,Ingresos,False
recibo acueducto junio,70967,Fijos,False
carne de res kilos,49943,Salidas,False
honorarios asesoría marzo,1500000,Ingresos,False
cuota hipoteca daviplata,1400000,Fijos,False
mesada universitaria junio,500000,Ingresos,False
venta moto,150000,Ingresos,False
pandebono viernes,3379,Salidas,True
collar y correa,29030,Salidas,False
comision septiembre,500000,Ingresos,False
mercado en justo y bueno,237661,Salidas,False
pensión vejez noviembre,1000000,Ingresos,False
adobe noviembre,120000,Susc.,False
colombiana de la tienda,2000,Salidas,True
plan celular movistar,39900,Fijos,False
paneton navideño,38325,Salidas,False
ancheta navideña,150000,Salidas,False
cafe en la panadería,2779,Salidas,True
regalo navidad familia,200000,Salidas,False
paquete de doritos,3000,Salidas,True
pony malta,2500,Salidas,True
tinto antes de almuerzo,1278,Salidas,True
plataforma estudio agosto,65000,Susc.,False
lengua en salsa,32654,Salidas,False
ingreso plataforma digital agosto,200000,Ingresos,False
estrato 3 recibo total,285000,Fijos,False
churrasco en restaurante,57039,Salidas,False
mercado en d1 mensual,211720,Salidas,False
gaseosa de espinaca,2503,Salidas,True
aporte pensión febrero,400000,Fijos,False
cuota crédito bbva,750000,Fijos,False
sarten para el trabajo,79861,Salidas,False
buseta a el centro,2195,Salidas,True
audifonos jbl,280000,Salidas,False
pasaje bus intermunicipal,58032,Salidas,False
chatgpt plus febrero,65000,Susc.,True
desayuno domingo,9910,Salidas,True
lotería de bogotá,2000,Salidas,True
ingreso plataforma digital octubre,200000,Ingresos,False
spotify premium septiembre,26900,Susc.,True
disney plus mayo,17900,Susc.,False
cerveza águila con parce,9851,Salidas,True
gas domiciliario,92000,Fijos,False
uber desde el jumbo,23185,Salidas,True
spotify premium mensual,17900,Susc.,True
toner impresora,204422,Salidas,False
sabanas del mes,101239,Salidas,False
servicio tecnico celular de hoy,105485,Salidas,False
comision mayo,200000,Ingresos,False
pensión vejez julio,1200000,Ingresos,False
chatgpt plus septiembre,75000,Susc.,True
curso udemy de hoy,51792,Salidas,False
tinto de mediodía,1329,Salidas,True
almuerzo ejecutivo,20000,Salidas,True
cebolla y ajo semanal,13749,Salidas,False
delivery mercado rappi,35000,Salidas,True
hotel en cartagena noche,417385,Salidas,False
tour villa de leyva,434287,Salidas,False
lechona tolimense,36319,Salidas,False
clase yoga online,0,Susc.,False
propina delivery,3000,Salidas,True
recibo acueducto agosto,46666,Fijos,False
beca estudio octubre,300000,Ingresos,False
chocoramo,1500,Salidas,True
almuerzo casero,15000,Salidas,True
lotería domingo,2168,Salidas,True
ropa interior tennis,92937,Salidas,False
plan celular etb,65000,Fijos,False
cuota crédito banco de bogotá,200000,Fijos,False
buseta a la terminal,3397,Salidas,True
clases de ingles diciembre,200000,Susc.,False
administración edificio junio,250000,Fijos,False
pollo para la semana,25793,Salidas,False
cuota tarjeta nequi,300000,Fijos,False
hbo max enero,19900,Susc.,False
domicilio rappi pollo,43807,Salidas,True
lonchera del niño viernes,12068,Salidas,True
buñuelo de la tarde,2544,Salidas,True
camisa en studio f,180000,Salidas,False
almuerzo martes,22738,Salidas,True
recibo gas agosto,90180,Fijos,False
escoba y trapero,38825,Salidas,False
rappi prime diciembre,9900,Susc.,True
ropa deportiva,147019,Salidas,False
nomina mayo,3000000,Ingresos,False
microondas,351768,Salidas,False
desinfectante lysol,15000,Salidas,True
paseo de olla,181002,Salidas,False
mazorca asada,5000,Salidas,True
paramount plus,17900,Susc.,False
carne para el asado,114985,Salidas,False
desayuno domingo,12819,Salidas,True
ingreso extra traducciones,500000,Ingresos,False
uber desde el centro,13623,Salidas,True
pension universidad noviembre,1800000,Fijos,False
honorarios asesoría febrero,1000000,Ingresos,False
lavadora de ropa,2015704,Salidas,False
cerveza corona con parce,6064,Salidas,True
regalo dia de la madre semanal,150975,Salidas,False
pasaje bus bogota medellin,77370,Salidas,False
internet tigo marzo,109900,Fijos,False
cuota tarjeta daviplata,200000,Fijos,False
lotería viernes,2397,Salidas,True
indriver al el trabajo,18775,Salidas,True
resma papel,35000,Salidas,False
cuota hipoteca bancolombia,1800000,Fijos,False
beca estudio septiembre,400000,Ingresos,False
metro de las de la tarde,3692,Salidas,True
buseta a el jumbo,3741,Salidas,True
suscripcion app octubre,9900,Susc.,True
pago eps marzo,120000,Fijos,False
plan celular claro,65000,Fijos,False
arriendo enero,900000,Fijos,False
arepa con queso,4759,Salidas,True
parqueadero oma,12672,Salidas,True
domicilio domicilios.com mercado,39798,Salidas,True
gasolina del carro,120000,Fijos,False
pensión colegio privado,450000,Fijos,False
internet movistar mayo,109900,Fijos,False
proteina whey,178161,Salidas,False
pensión vejez octubre,1000000,Ingresos,False
mercado a los papás,150000,Salidas,False
recibo luz abril,104025,Fijos,False
chicha en el pueblo,5000,Salidas,True
pensión vejez septiembre,1000000,Ingresos,False
vpn con anuncios mensual,35000,Susc.,True
dulces tienda domingo,4391,Salidas,True
chance jueves,6693,Salidas,True
adobe julio,89000,Susc.,False
transferencia familia diciembre,100000,Ingresos,False
regalo de grado del mes,344786,Salidas,False
dulces tienda semana,1848,Salidas,True
ingreso uber driver mes,1800000,Ingresos,False
pimienta y sal,8000,Salidas,True
mesada universitaria septiembre,800000,Ingresos,False
jugo hit,3500,Salidas,True
juguetes navidad quincenal,329930,Salidas,False
cebolla y ajo semanal,13023,Salidas,False
quincena mayo,800000,Ingresos,False
venta electrodoméstico,500000,Ingresos,False
atún van camps,7500,Salidas,True
smart tv samsung,1513488,Salidas,False
frijolada antioquena,32016,Salidas,False
buñuelo de mediodía,1804,Salidas,True
hbo max septiembre,19900,Susc.,False
parqueadero starbucks,6758,Salidas,True
uber desde el centro,11056,Salidas,True
chance viernes,7363,Salidas,True
airpods,877596,Salidas,False
bono productividad julio,500000,Ingresos,False
bono productividad julio,350000,Ingresos,False
rappi prime junio,9900,Susc.,True
pago eps julio,145000,Fijos,False
globos y decoración,45344,Salidas,False
dulces tienda viernes,4928,Salidas,True
nike training club premium,0,Susc.,True
jeans en arturo calle,296843,Salidas,False
jeans en arturo calle,250000,Salidas,False
parqueadero el puesto,13476,Salidas,True
disney plus marzo,21900,Susc.,False
cocada en el parque,3000,Salidas,True
domicilio pizza,45000,Salidas,True
payaso para la fiesta quincenal,181163,Salidas,False
cerveza corona con parce,11856,Salidas,True
recibo acueducto octubre,68865,Fijos,False
pandebono domingo,2510,Salidas,True
recibo acueducto noviembre,86785,Fijos,False
bono productividad febrero,700000,Ingresos,False
buñuelo de la esquina,1000,Salidas,True
beca estudio noviembre,600000,Ingresos,False
prime video abril,17900,Susc.,False
clases de ingles abril,200000,Susc.,False
venta ropa usada,50000,Ingresos,False
uber desde la casa,10112,Salidas,True
parqueadero el puesto,11221,Salidas,True
pensión vejez febrero,900000,Ingresos,False
honorarios desarrollo web julio,1500000,Ingresos,False
servicio tecnico celular,138399,Salidas,False
arriendos recibidos febrero,700000,Ingresos,False
tiquete san andres quincenal,585796,Salidas,False
uber desde el centro,26891,Salidas,True
bono productividad agosto,500000,Ingresos,False
propina domicilio,4092,Salidas,True
netflix básico junio,29900,Susc.,False
aportes cuenta afc,500000,Ingresos,False
raspa y gana,5060,Salidas,True
regalo papa noel niños de hoy,256014,Salidas,False
prime video diciembre,17900,Susc.,False
arroz en bulto,78515,Salidas,False
seguro vida febrero,120000,Fijos,False
ingreso tiktok ads,150000,Ingresos,False
arriendo noviembre,1100000,Fijos,False
freelance desarrollo web,500000,Ingresos,False
recarga celular etb,9628,Salidas,True
helado de limón,2799,Salidas,True
gaseosa de espinaca,4689,Salidas,True
transferencia de la mama,200000,Ingresos,False
desayuno en mcdonald's,18000,Salidas,True
pension colegio junio,600000,Fijos,False
seguro vida agosto,65000,Fijos,False
administración edificio junio,180000,Fijos,False
taxi al la farmacia,23540,Salidas,True
cerveza pilsen con parce,8803,Salidas,True
frappuccino starbucks,22000,Salidas,True
venta carro,100000,Ingresos,False
gym spinning club marzo,150000,Susc.,False
ingreso uber driver diciembre,1400000,Ingresos,False
parqueadero el puesto,13501,Salidas,True
lengua en salsa,30668,Salidas,False
buseta a el éxito,2312,Salidas,True
recibo acueducto octubre,88154,Fijos,False
cuota crédito nequi,750000,Fijos,False
dristan,9000,Salidas,True
beca estudio abril,400000,Ingresos,False
buseta a la terminal,3208,Salidas,True
mantequilla rama,8500,Salidas,True
picada con los parces,83403,Salidas,True
metro de las antes de almuerzo,3981,Salidas,True
suscripcion app abril,35000,Susc.,True
comision enero,300000,Ingresos,False
seguro vida marzo,85000,Fijos,False
tiquete latam bogota cali,189384,Salidas,False
canva pro agosto,35000,Susc.,True
tinto mañana,1443,Salidas,True
seguro soat noviembre,45000,Fijos,False
taxi al centro,12000,Salidas,True
licuadora,127636,Salidas,False
pizza dominos,56339,Salidas,False
ingreso vendedor ambulante,800000,Ingresos,False
suscripcion app septiembre,9900,Susc.,True
netflix familiar enero,17900,Susc.,False
propina domicilio,3769,Salidas,True
subsidio familiar icbf,400000,Ingresos,False
venta mercado libre noviembre,200000,Ingresos,False
honorarios traducciones febrero,2000000,Ingresos,False
insulina diabetes,250000,Fijos,False
recibo luz marzo,80185,Fijos,False
nomina marzo,2500000,Ingresos,False
panetón navideño,43441,Salidas,False
picada con los parces,64535,Salidas,True
concierto maluma semanal,343342,Salidas,False
remesas exterior julio,1000000,Ingresos,False
ingreso plataforma digital octubre,100000,Ingresos,False
indriver al la casa,13678,Salidas,True
mercado en ara mensual semanal,253924,Salidas,False
canva pro abril,65000,Susc.,True
toner impresora,163937,Salidas,False
pension universidad diciembre,1800000,Fijos,False
mercado a los papás,132342,Salidas,False
clases de ingles abril,250000,Susc.,False
icloud 5gb diciembre,7900,Susc.,True
uber desde el aeropuerto,29796,Salidas,True
pension colegio agosto,350000,Fijos,False
tenis adidas,280684,Salidas,False
cajita feliz,22000,Salidas,True
quincena junio,2000000,Ingresos,False
arriendo octubre,650000,Fijos,False
regalo quince años quincenal,281386,Salidas,False
ingreso plataforma digital febrero,500000,Ingresos,False
devolución iva abril,300000,Ingresos,False
adobe noviembre,89000,Susc.,False
lotería lunes,4702,Salidas,True
ahorro programado bancolombia,300000,Ingresos,False
cuota hipoteca nequi,900000,Fijos,False
pension colegio marzo,350000,Fijos,False
desayuno jueves,15086,Salidas,True
mercado en carulla,355022,Salidas,False
recibo del acueducto,65000,Fijos,False
lotería miércoles,2014,Salidas,True
seguro soat febrero,65000,Fijos,False
clases de ingles septiembre,180000,Susc.,False
pension universidad marzo,900000,Fijos,False
ropa interior tennis,101621,Salidas,False
recarga movistar,20000,Salidas,True
viaje a cartagena,708370,Salidas,False
reparacion grifo baño,85000,Fijos,False
venta electrodoméstico,800000,Ingresos,False
globos y decoracion,42340,Salidas,False
playstation plus agosto,19900,Susc.,False
netflix estudiante octubre,17900,Susc.,False
arroz de mariscos,59428,Salidas,False
rappi prime octubre,17900,Susc.,True
recarga celular claro,10323,Salidas,True
recarga celular movistar,9410,Salidas,True
revisión carro taller,250000,Fijos,False
pago eps mayo,145000,Fijos,False
cuota crédito itaú,750000,Fijos,False
pension universidad junio,1800000,Fijos,False
helado de arequipe,7620,Salidas,True
tenis nike,352538,Salidas,False
ingreso plataforma digital octubre,100000,Ingresos,False
almuerzo sábado,16663,Salidas,True
tenis adidas,320000,Salidas,False
materiales universidad,137803,Salidas,False
almuerzo domingo,13101,Salidas,True
lotería jueves,3745,Salidas,True
youtube premium abril,14900,Susc.,False
camisa en studio f,169721,Salidas,False
plan celular wom,55000,Fijos,False
airpods para la casa,1054635,Salidas,False
internet movistar febrero,89900,Fijos,False
honorarios asesoría marzo,3000000,Ingresos,False
chontaduro en la playa,5000,Salidas,True
libro fisico libreria,41887,Salidas,False
mecato del medio día,4185,Salidas,True
spotify personal noviembre,26900,Susc.,True
lonchera del niño sábado,13119,Salidas,True
desayuno jueves,12616,Salidas,True
devolución iva diciembre,150000,Ingresos,False
netflix familiar,29900,Susc.,False
seguro vida enero,65000,Fijos,False
cafe en juan valdez,12144,Salidas,True
alquiler de sillas y mesas,180000,Salidas,False
cuota tarjeta banco de bogotá,200000,Fijos,False
minecraft mensual,18500,Susc.,True
propina domicilio,3335,Salidas,True
administración edificio enero,150000,Fijos,False
gym spinning club marzo,150000,Susc.,False
recarga celular wom,25489,Salidas,True
empanada de pipian,2000,Salidas,True
papa al por mayor,25000,Salidas,False
transferencia familia septiembre,300000,Ingresos,False
raspa y gana,9147,Salidas,True
sueldo part time diciembre,1200000,Ingresos,False
maquina de afeitar,180000,Salidas,False
freelance diseño,1000000,Ingresos,False
domicilio domicilios.com cena,36682,Salidas,True
arriendo octubre,1100000,Fijos,False
xbox game pass abril,19900,Susc.,False
bono fin de semana,150000,Ingresos,False
internet etb bogota,75000,Fijos,False
administración edificio diciembre,180000,Fijos,False
frutas en el mercado,47634,Salidas,False
seguro vida noviembre,85000,Fijos,False
internet tigo agosto,79900,Fijos,False
rendimientos cdts,85000,Ingresos,False
papas salchipapa sábado,11987,Salidas,True
blender oster,181395,Salidas,False
vpn familia mensual,35000,Susc.,True
honorarios marketing abril,800000,Ingresos,False
sudadera para el gym,136388,Salidas,False
dividendos gruposura,250000,Ingresos,False
libro fisico libreria para el trabajo,37712,Salidas,False
sueldo part time octubre,600000,Ingresos,False
spotify familia agosto,26900,Susc.,True
freelance asesoría,500000,Ingresos,False
yuca y platano semanal,18000,Salidas,False
uber desde el trabajo,26703,Salidas,True
pago eps diciembre,280000,Fijos,False
recibo gas septiembre,57982,Fijos,False
cuota tarjeta scotiabank,400000,Fijos,False
colonia en la tienda,124006,Salidas,False
clases de baile,150000,Susc.,False
churrasco en restaurante,52263,Salidas,False
toallas baño,53492,Salidas,False
xbox game pass noviembre,29900,Susc.,False
huevos por cubeta,14000,Salidas,False
collar y correa,32360,Salidas,False
uber de madrugada,35000,Salidas,True
pensión vejez abril,1500000,Ingresos,False
quincena agosto,600000,Ingresos,False
cuota tarjeta bbva,250000,Fijos,False
raspa y gana,5235,Salidas,True
libro fisico libreria,46905,Salidas,False
icloud 5gb marzo,7900,Susc.,True
xbox game pass febrero,29900,Susc.,False
almohada nueva,64581,Salidas,False
icloud 5gb julio,35900,Susc.,True
pensión vejez mayo,2000000,Ingresos,False
pescado fresco,33981,Salidas,False
escoba y trapero,35000,Salidas,False
pandebono de la panaderia,2500,Salidas,True
gym el gym febrero,110000,Susc.,False
onces semana,9145,Salidas,True
vajilla,180000,Salidas,False
pension universidad mayo,2500000,Fijos,False
cappuccino oma,11000,Salidas,True
latte en juan valdez,12500,Salidas,True
arriendos recibidos abril,400000,Ingresos,False
cuota hipoteca nequi,800000,Fijos,False
asado dominguero,297177,Salidas,False
quincena febrero,1500000,Ingresos,False
carbón y leña asado,25000,Salidas,True
jugo de naranja en el puesto,3000,Salidas,True
gaseosa de espinaca,2541,Salidas,True
bono productividad junio,350000,Ingresos,False
almohada nueva,63926,Salidas,False
mecato noche,5273,Salidas,True
visita al pueblo,292723,Salidas,False
youtube premium,18900,Susc.,False
yuca y platano semanal,15482,Salidas,False
pago proyecto,750000,Ingresos,False
recibo gas septiembre,61498,Fijos,False
aporte pensión diciembre,400000,Fijos,False
pastel de navidad,72771,Salidas,False
ingreso uber driver junio,800000,Ingresos,False
indriver al el éxito,18593,Salidas,True
suscripcion app enero,14900,Susc.,True
entrada parque de diversiones,85000,Salidas,True
arriendo marzo,1100000,Fijos,False
regalo quince años,210453,Salidas,False
lotería sábado,4349,Salidas,True
papas salchipapa semana,7444,Salidas,True
vpn premium mensual,25000,Susc.,True
honorarios desarrollo web enero,800000,Ingresos,False
papeleria oficina,68396,Salidas,False
collar y correa,37621,Salidas,False
veterinario consulta,128357,Salidas,False
tiquete latam bogota cali,181819,Salidas,False
transferencia bancolombia,504650,Salidas,False
croissant de la panaderia,4500,Salidas,True
mecato mañana,3657,Salidas,True
arepa con chocolate,5779,Salidas,True
gelatina postobón,3000,Salidas,True
plan celular claro,55000,Fijos,False
administración edificio abril,180000,Fijos,False
pandebono jueves,2914,Salidas,True
helado de coco,4514,Salidas,True
internet movistar abril,89900,Fijos,False
buñuelo la tarde,1171,Salidas,True
pension colegio mayo,350000,Fijos,False
pension colegio julio,350000,Fijos,False
canva pro abril,49900,Susc.,True
arepa con mantequilla,7413,Salidas,True
prime video mayo,14900,Susc.,False
transferencia bancolombia de hoy,425943,Salidas,False
cena jueves,34103,Salidas,True
gym body tech marzo,150000,Susc.,False
concierto maluma,274135,Salidas,False
cuota tarjeta davivienda,400000,Fijos,False
alquiler de sillas y mesas,174509,Salidas,False
seguro vida diciembre,50000,Fijos,False
recarga claro datos,25000,Salidas,True
pago proyecto freelance,800000,Ingresos,False
almuerzo jueves,17679,Salidas,True
tragos martes,95038,Salidas,True
chance jueves,5771,Salidas,True
netflix con anuncios enero,29900,Susc.,False
transferencia familia diciembre,300000,Ingresos,False
almohada nueva,59498,Salidas,False
jeans en arturo calle para el trabajo,234757,Salidas,False
pre entreno,95000,Salidas,True
pension colegio marzo,250000,Fijos,False
quincena mayo,2500000,Ingresos,False
retiro espiritual,200000,Salidas,False
indriver al la terminal,16625,Salidas,True
freelance fotografía,200000,Ingresos,False
resma papel del mes,31981,Salidas,False
tragos sábado,77212,Salidas,True
camarones al ajillo,53090,Salidas,False
seguro soat febrero,65000,Fijos,False
internet movistar enero,79900,Fijos,False
venta carro,100000,Ingresos,False
microsoft 365 junio,65000,Susc.,False
devolución iva enero,300000,Ingresos,False
colombiana con limón,3000,Salidas,True
helado de mango,2802,Salidas,True
arriendo febrero,950000,Fijos,False
morral para el colegio,167324,Salidas,False
disney plus diciembre,21900,Susc.,False
recibo de luz codensa,110000,Fijos,False
mercado en ara mensual,219700,Salidas,False
cuota tarjeta daviplata,300000,Fijos,False
onces viernes,8425,Salidas,True
suscripcion app septiembre,19900,Susc.,True
uber desde la casa,17983,Salidas,True
youtube premium abril,14900,Susc.,False
deuda con el prestamista,150000,Fijos,False
pension colegio mayo,350000,Fijos,False
pizza dominos,48550,Salidas,False
parqueadero en el centro,8000,Salidas,True
lotería miércoles,4366,Salidas,True
arriendos recibidos septiembre,1000000,Ingresos,False
arriendo junio,1200000,Fijos,False
pescado fresco,39700,Salidas,False
dulces tienda miércoles,3628,Salidas,True
suscripcion app agosto,25000,Susc.,True
sueldo part time octubre,600000,Ingresos,False
mercado en jumbo,255743,Salidas,False
chorizo santaroseño,18000,Salidas,True
empanada de espinaca,2751,Salidas,True
papa al por mayor,25926,Salidas,False
aporte pensión junio,200000,Fijos,False
disney plus noviembre,21900,Susc.,False
sudadera para el gym,101046,Salidas,False
transferencia familia diciembre,500000,Ingresos,False
seguro soat septiembre,55000,Fijos,False
mecato de las 8,3195,Salidas,True
camisa en studio f semanal,161320,Salidas,False
parqueadero oma,7224,Salidas,True
mecato de la tarde,5898,Salidas,True
piñata,48979,Salidas,False
cuota crédito davivienda,400000,Fijos,False
propina domicilio,4854,Salidas,True
galletas wafer,2500,Salidas,True
cuota hipoteca banco de bogotá,1800000,Fijos,False
torta de cumpleaños quincenal,112445,Salidas,False
xbox game pass abril,29900,Susc.,False
cuota crédito itaú,750000,Fijos,False
venta muebles,150000,Ingresos,False
ingreso uber driver diciembre,800000,Ingresos,False
netflix premium febrero,17900,Susc.,False
raspa y gana,9661,Salidas,True
recibo acueducto diciembre,52169,Fijos,False
almuerzo domingo,18788,Salidas,True
plan celular etb,39900,Fijos,False
plan celular wom,39900,Fijos,False
clases de ingles julio,300000,Susc.,False
servicio tecnico celular,143462,Salidas,False
desayuno lunes,17064,Salidas,True
arriendo abril,800000,Fijos,False
comision junio,500000,Ingresos,False
airpods del mes,816915,Salidas,False
recarga celular movistar,18160,Salidas,True
domicilio en bicicleta,20000,Salidas,True
suscripcion app junio,25000,Susc.,True
lotería martes,3513,Salidas,True
útiles escolares del niño semanal,83119,Salidas,False
mercado en el éxito mensual,578245,Salidas,False
buñuelo de la tarde,2330,Salidas,True
pasaje bus bogota medellin,95000,Salidas,False
asado con amigos,227467,Salidas,False
panetón navideño,39847,Salidas,False
tamales en el restaurante,15000,Salidas,True
mesada universitaria septiembre,800000,Ingresos,False
microondas,332388,Salidas,False
arepa con mantequilla,6763,Salidas,True
nevera nueva para el trabajo,2063939,Salidas,False
parqueadero mensual centro,150000,Fijos,False
buseta a la casa,3851,Salidas,True
libro fisico libreria,52964,Salidas,False
dulces tienda sábado,1119,Salidas,True
dominio y hosting abril,35000,Susc.,False
mecato de la tarde,3141,Salidas,True
examen laboratorio clinico,65000,Fijos,False
indriver al el aeropuerto,17135,Salidas,True
suscripcion app noviembre,35000,Susc.,True
empanada de pipián,3294,Salidas,True
camarones al ajillo,62823,Salidas,False
plan celular movistar,45000,Fijos,False
vestido de baño,99155,Salidas,False
ingreso arrendatario,900000,Ingresos,False
mesada universitaria febrero,500000,Ingresos,False
aporte pensión noviembre,400000,Fijos,False
recibo gas octubre,79355,Fijos,False
aporte pensión abril,150000,Fijos,False
internet claro abril,69900,Fijos,False
ropa deportiva,155866,Salidas,False
desayuno lunes,8126,Salidas,True
recibo gas abril,54076,Fijos,False
venta ropa usada,150000,Ingresos,False
hbo max mensual,23900,Susc.,False
cena jueves,18155,Salidas,True
onces sábado,13312,Salidas,True
aceite girasol,18000,Salidas,True
festival rumba stereo,136367,Salidas,False
