descripcion,monto,categoria,es_gasto_hormiga,fuente,peso,X
pensión vejez noviembre,1000000,ingreso_trabajo,False,synthetic,1,pensión vejez noviembre monto:alto
adobe noviembre,120000,tecnologia,False,synthetic,1,adobe noviembre monto:medio
colombiana de la tienda,2000,alimentacion,True,synthetic,1,colombiana de la tienda monto:bajo
plan celular movistar,39900,servicios,False,synthetic,1,plan celular movistar monto:medio
paneton navideño,38325,alimentacion,False,synthetic,1,paneton navideño monto:medio
ancheta navideña,150000,alimentacion,False,synthetic,1,ancheta navideña monto:alto
cafe en la panadería,2779,alimentacion,True,synthetic,1,cafe en la panadería monto:bajo
regalo navidad familia,200000,alimentacion,False,synthetic,1,regalo navidad familia monto:alto
paquete de doritos,3000,alimentacion,True,synthetic,1,paquete de doritos monto:bajo
pony malta,2500,alimentacion,True,synthetic,1,pony malta monto:bajo
tinto antes de almuerzo,1278,alimentacion,True,synthetic,1,tinto antes de almuerzo monto:bajo
plataforma estudio agosto,65000,tecnologia,False,synthetic,1,plataforma estudio agosto monto:medio
lengua en salsa,32654,alimentacion,False,synthetic,1,lengua en salsa monto:medio
ingreso plataforma digital agosto,200000,ingreso_trabajo,False,synthetic,1,ingreso plataforma digital agosto monto:alto
estrato 3 recibo total,285000,servicios,False,synthetic,1,estrato 3 recibo total monto:alto
churrasco en restaurante,57039,alimentacion,False,synthetic,1,churrasco en restaurante monto:medio
mercado en d1 mensual,211720,alimentacion,False,synthetic,1,mercado en d1 mensual monto:alto
gaseosa de espinaca,2503,alimentacion,True,synthetic,1,gaseosa de espinaca monto:bajo
aporte pensión febrero,400000,servicios,False,synthetic,1,aporte pensión febrero monto:alto
cuota crédito bbva,750000,servicios,False,synthetic,1,cuota crédito bbva monto:alto
sarten para el trabajo,79861,alimentacion,False,synthetic,1,sarten para el trabajo monto:medio
buseta a el centro,2195,alimentacion,True,synthetic,1,buseta a el centro monto:bajo
audifonos jbl,280000,alimentacion,False,synthetic,1,audifonos jbl monto:alto
pasaje bus intermunicipal,58032,alimentacion,False,synthetic,1,pasaje bus intermunicipal monto:medio
chatgpt plus febrero,65000,tecnologia,True,synthetic,1,chatgpt plus febrero monto:medio
desayuno domingo,9910,alimentacion,True,synthetic,1,desayuno domingo monto:bajo
lotería de bogotá,2000,alimentacion,True,synthetic,1,lotería de bogotá monto:bajo
ingreso plataforma digital octubre,200000,ingreso_trabajo,False,synthetic,1,ingreso plataforma digital octubre monto:alto
spotify premium septiembre,26900,tecnologia,True,synthetic,1,spotify premium septiembre monto:bajo
disney plus mayo,17900,tecnologia,False,synthetic,1,disney plus mayo monto:bajo
cerveza águila con parce,9851,alimentacion,True,synthetic,1,cerveza águila con parce monto:bajo
gas domiciliario,92000,servicios,False,synthetic,1,gas domiciliario monto:medio
uber desde el jumbo,23185,alimentacion,True,synthetic,1,uber desde el jumbo monto:bajo
spotify premium mensual,17900,tecnologia,True,synthetic,1,spotify premium mensual monto:bajo
toner impresora,204422,alimentacion,False,synthetic,1,toner impresora monto:alto
sabanas del mes,101239,alimentacion,False,synthetic,1,sabanas del mes monto:medio
servicio tecnico celular de hoy,105485,alimentacion,False,synthetic,1,servicio tecnico celular de hoy monto:medio
comision mayo,200000,ingreso_trabajo,False,synthetic,1,comision mayo monto:alto
pensión vejez julio,1200000,ingreso_trabajo,False,synthetic,1,pensión vejez julio monto:alto
chatgpt plus septiembre,75000,tecnologia,True,synthetic,1,chatgpt plus septiembre monto:medio
curso udemy de hoy,51792,alimentacion,False,synthetic,1,curso udemy de hoy monto:medio
tinto de mediodía,1329,alimentacion,True,synthetic,1,tinto de mediodía monto:bajo
almuerzo ejecutivo,20000,alimentacion,True,synthetic,1,almuerzo ejecutivo monto:bajo
cebolla y ajo semanal,13749,alimentacion,False,synthetic,1,cebolla y ajo semanal monto:bajo
delivery mercado rappi,35000,alimentacion,True,synthetic,1,delivery mercado rappi monto:medio
hotel en cartagena noche,417385,alimentacion,False,synthetic,1,hotel en cartagena noche monto:alto
tour villa de leyva,434287,alimentacion,False,synthetic,1,tour villa de leyva monto:alto
lechona tolimense,36319,alimentacion,False,synthetic,1,lechona tolimense monto:medio
clase yoga online,0,tecnologia,False,synthetic,1,clase yoga online monto:bajo
propina delivery,3000,alimentacion,True,synthetic,1,propina delivery monto:bajo
recibo acueducto agosto,46666,servicios,False,synthetic,1,recibo acueducto agosto monto:medio
beca estudio octubre,300000,ingreso_trabajo,False,synthetic,1,beca estudio octubre monto:alto
chocoramo,1500,alimentacion,True,synthetic,1,chocoramo monto:bajo
almuerzo casero,15000,alimentacion,True,synthetic,1,almuerzo casero monto:bajo
lotería domingo,2168,alimentacion,True,synthetic,1,lotería domingo monto:bajo
ropa interior tennis,92937,alimentacion,False,synthetic,1,ropa interior tennis monto:medio
plan celular etb,65000,servicios,False,synthetic,1,plan celular etb monto:medio
cuota crédito banco de bogotá,200000,servicios,False,synthetic,1,cuota crédito banco de bogotá monto:alto
buseta a la terminal,3397,alimentacion,True,synthetic,1,buseta a la terminal monto:bajo
clases de ingles diciembre,200000,tecnologia,False,synthetic,1,clases de ingles diciembre monto:alto
administración edificio junio,250000,servicios,False,synthetic,1,administración edificio junio monto:alto
pollo para la semana,25793,alimentacion,False,synthetic,1,pollo para la semana monto:bajo
cuota tarjeta nequi,300000,servicios,False,synthetic,1,cuota tarjeta nequi monto:alto
hbo max enero,19900,tecnologia,False,synthetic,1,hbo max enero monto:bajo
domicilio rappi pollo,43807,alimentacion,True,synthetic,1,domicilio rappi pollo monto:medio
lonchera del niño viernes,12068,alimentacion,True,synthetic,1,lonchera del niño viernes monto:bajo
buñuelo de la tarde,2544,alimentacion,True,synthetic,1,buñuelo de la tarde monto:bajo
camisa en studio f,180000,alimentacion,False,synthetic,1,camisa en studio f monto:alto
almuerzo martes,22738,alimentacion,True,synthetic,1,almuerzo martes monto:bajo
recibo gas agosto,90180,servicios,False,synthetic,1,recibo gas agosto monto:medio
escoba y trapero,38825,alimentacion,False,synthetic,1,escoba y trapero monto:medio
rappi prime diciembre,9900,tecnologia,True,synthetic,1,rappi prime diciembre monto:bajo
ropa deportiva,147019,alimentacion,False,synthetic,1,ropa deportiva monto:medio
nomina mayo,3000000,ingreso_trabajo,False,synthetic,1,nomina mayo monto:alto
microondas,351768,alimentacion,False,synthetic,1,microondas monto:alto
desinfectante lysol,15000,alimentacion,True,synthetic,1,desinfectante lysol monto:bajo
paseo de olla,181002,alimentacion,False,synthetic,1,paseo de olla monto:alto
mazorca asada,5000,alimentacion,True,synthetic,1,mazorca asada monto:bajo
paramount plus,17900,tecnologia,False,synthetic,1,paramount plus monto:bajo
carne para el asado,114985,alimentacion,False,synthetic,1,carne para el asado monto:medio
desayuno domingo,12819,alimentacion,True,synthetic,1,desayuno domingo monto:bajo
ingreso extra traducciones,500000,ingreso_trabajo,False,synthetic,1,ingreso extra traducciones monto:alto
uber desde el centro,13623,alimentacion,True,synthetic,1,uber desde el centro monto:bajo
pension universidad noviembre,1800000,servicios,False,synthetic,1,pension universidad noviembre monto:alto
honorarios asesoría febrero,1000000,ingreso_trabajo,False,synthetic,1,honorarios asesoría febrero monto:alto
lavadora de ropa,2015704,alimentacion,False,synthetic,1,lavadora de ropa monto:alto
cerveza corona con parce,6064,alimentacion,True,synthetic,1,cerveza corona con parce monto:bajo
regalo dia de la madre semanal,150975,alimentacion,False,synthetic,1,regalo dia de la madre semanal monto:alto
pasaje bus bogota medellin,77370,alimentacion,False,synthetic,1,pasaje bus bogota medellin monto:medio
internet tigo marzo,109900,servicios,False,synthetic,1,internet tigo marzo monto:medio
cuota tarjeta daviplata,200000,servicios,False,synthetic,1,cuota tarjeta daviplata monto:alto
lotería viernes,2397,alimentacion,True,synthetic,1,lotería viernes monto:bajo
indriver al el trabajo,18775,alimentacion,True,synthetic,1,indriver al el trabajo monto:bajo
resma papel,35000,alimentacion,False,synthetic,1,resma papel monto:medio
cuota hipoteca bancolombia,1800000,servicios,False,synthetic,1,cuota hipoteca bancolombia monto:alto
beca estudio septiembre,400000,ingreso_trabajo,False,synthetic,1,beca estudio septiembre monto:alto
metro de las de la tarde,3692,alimentacion,True,synthetic,1,metro de las de la tarde monto:bajo
buseta a el jumbo,3741,alimentacion,True,synthetic,1,buseta a el jumbo monto:bajo
suscripcion app octubre,9900,tecnologia,True,synthetic,1,suscripcion app octubre monto:bajo
pago eps marzo,120000,servicios,False,synthetic,1,pago eps marzo monto:medio
plan celular claro,65000,servicios,False,synthetic,1,plan celular claro monto:medio
arriendo enero,900000,servicios,False,synthetic,1,arriendo enero monto:alto
arepa con queso,4759,alimentacion,True,synthetic,1,arepa con queso monto:bajo
parqueadero oma,12672,alimentacion,True,synthetic,1,parqueadero oma monto:bajo
domicilio domicilios.com mercado,39798,alimentacion,True,synthetic,1,domicilio domicilios.com mercado monto:medio
gasolina del carro,120000,servicios,False,synthetic,1,gasolina del carro monto:medio
pensión colegio privado,450000,servicios,False,synthetic,1,pensión colegio privado monto:alto
internet movistar mayo,109900,servicios,False,synthetic,1,internet movistar mayo monto:medio
proteina whey,178161,alimentacion,False,synthetic,1,proteina whey monto:alto
pensión vejez octubre,1000000,ingreso_trabajo,False,synthetic,1,pensión vejez octubre monto:alto
mercado a los papás,150000,alimentacion,False,synthetic,1,mercado a los papás monto:alto
recibo luz abril,104025,servicios,False,synthetic,1,recibo luz abril monto:medio
chicha en el pueblo,5000,alimentacion,True,synthetic,1,chicha en el pueblo monto:bajo
pensión vejez septiembre,1000000,ingreso_trabajo,False,synthetic,1,pensión vejez septiembre monto:alto
vpn con anuncios mensual,35000,tecnologia,True,synthetic,1,vpn con anuncios mensual monto:medio
dulces tienda domingo,4391,alimentacion,True,synthetic,1,dulces tienda domingo monto:bajo
chance jueves,6693,alimentacion,True,synthetic,1,chance jueves monto:bajo
adobe julio,89000,tecnologia,False,synthetic,1,adobe julio monto:medio
transferencia familia diciembre,100000,ingreso_trabajo,False,synthetic,1,transferencia familia diciembre monto:medio
regalo de grado del mes,344786,alimentacion,False,synthetic,1,regalo de grado del mes monto:alto
dulces tienda semana,1848,alimentacion,True,synthetic,1,dulces tienda semana monto:bajo
ingreso uber driver mes,1800000,ingreso_trabajo,False,synthetic,1,ingreso uber driver mes monto:alto
pimienta y sal,8000,alimentacion,True,synthetic,1,pimienta y sal monto:bajo
mesada universitaria septiembre,800000,ingreso_trabajo,False,synthetic,1,mesada universitaria septiembre monto:alto
jugo hit,3500,alimentacion,True,synthetic,1,jugo hit monto:bajo
juguetes navidad quincenal,329930,alimentacion,False,synthetic,1,juguetes navidad quincenal monto:alto
cebolla y ajo semanal,13023,alimentacion,False,synthetic,1,cebolla y ajo semanal monto:bajo
quincena mayo,800000,ingreso_trabajo,False,synthetic,1,quincena mayo monto:alto
venta electrodoméstico,500000,ingreso_trabajo,False,synthetic,1,venta electrodoméstico monto:alto
atún van camps,7500,alimentacion,True,synthetic,1,atún van camps monto:bajo
smart tv samsung,1513488,alimentacion,False,synthetic,1,smart tv samsung monto:alto
frijolada antioquena,32016,alimentacion,False,synthetic,1,frijolada antioquena monto:medio
buñuelo de mediodía,1804,alimentacion,True,synthetic,1,buñuelo de mediodía monto:bajo
hbo max septiembre,19900,tecnologia,False,synthetic,1,hbo max septiembre monto:bajo
parqueadero starbucks,6758,alimentacion,True,synthetic,1,parqueadero starbucks monto:bajo
uber desde el centro,11056,alimentacion,True,synthetic,1,uber desde el centro monto:bajo
chance viernes,7363,alimentacion,True,synthetic,1,chance viernes monto:bajo
airpods,877596,alimentacion,False,synthetic,1,airpods monto:alto
bono productividad julio,500000,ingreso_trabajo,False,synthetic,1,bono productividad julio monto:alto
bono productividad julio,350000,ingreso_trabajo,False,synthetic,1,bono productividad julio monto:alto
rappi prime junio,9900,tecnologia,True,synthetic,1,rappi prime junio monto:bajo
pago eps julio,145000,servicios,False,synthetic,1,pago eps julio monto:medio
globos y decoración,45344,alimentacion,False,synthetic,1,globos y decoración monto:medio
dulces tienda viernes,4928,alimentacion,True,synthetic,1,dulces tienda viernes monto:bajo
nike training club premium,0,tecnologia,True,synthetic,1,nike training club premium monto:bajo
jeans en arturo calle,296843,alimentacion,False,synthetic,1,jeans en arturo calle monto:alto
jeans en arturo calle,250000,alimentacion,False,synthetic,1,jeans en arturo calle monto:alto
parqueadero el puesto,13476,alimentacion,True,synthetic,1,parqueadero el puesto monto:bajo
disney plus marzo,21900,tecnologia,False,synthetic,1,disney plus marzo monto:bajo
cocada en el parque,3000,alimentacion,True,synthetic,1,cocada en el parque monto:bajo
domicilio pizza,45000,alimentacion,True,synthetic,1,domicilio pizza monto:medio
payaso para la fiesta quincenal,181163,alimentacion,False,synthetic,1,payaso para la fiesta quincenal monto:alto
cerveza corona con parce,11856,alimentacion,True,synthetic,1,cerveza corona con parce monto:bajo
recibo acueducto octubre,68865,servicios,False,synthetic,1,recibo acueducto octubre monto:medio
pandebono domingo,2510,alimentacion,True,synthetic,1,pandebono domingo monto:bajo
recibo acueducto noviembre,86785,servicios,False,synthetic,1,recibo acueducto noviembre monto:medio
bono productividad febrero,700000,ingreso_trabajo,False,synthetic,1,bono productividad febrero monto:alto
buñuelo de la esquina,1000,alimentacion,True,synthetic,1,buñuelo de la esquina monto:bajo
beca estudio noviembre,600000,ingreso_trabajo,False,synthetic,1,beca estudio noviembre monto:alto
prime video abril,17900,tecnologia,False,synthetic,1,prime video abril monto:bajo
clases de ingles abril,200000,tecnologia,False,synthetic,1,clases de ingles abril monto:alto
venta ropa usada,50000,ingreso_trabajo,False,synthetic,1,venta ropa usada monto:medio
uber desde la casa,10112,alimentacion,True,synthetic,1,uber desde la casa monto:bajo
parqueadero el puesto,11221,alimentacion,True,synthetic,1,parqueadero el puesto monto:bajo
pensión vejez febrero,900000,ingreso_trabajo,False,synthetic,1,pensión vejez febrero monto:alto
honorarios desarrollo web julio,1500000,ingreso_trabajo,False,synthetic,1,honorarios desarrollo web julio monto:alto
servicio tecnico celular,138399,alimentacion,False,synthetic,1,servicio tecnico celular monto:medio
arriendos recibidos febrero,700000,ingreso_trabajo,False,synthetic,1,arriendos recibidos febrero monto:alto
tiquete san andres quincenal,585796,alimentacion,False,synthetic,1,tiquete san andres quincenal monto:alto
uber desde el centro,26891,alimentacion,True,synthetic,1,uber desde el centro monto:bajo
bono productividad agosto,500000,ingreso_trabajo,False,synthetic,1,bono productividad agosto monto:alto
propina domicilio,4092,alimentacion,True,synthetic,1,propina domicilio monto:bajo
netflix básico junio,29900,tecnologia,False,synthetic,1,netflix básico junio monto:bajo
aportes cuenta afc,500000,ingreso_trabajo,False,synthetic,1,aportes cuenta afc monto:alto
raspa y gana,5060,alimentacion,True,synthetic,1,raspa y gana monto:bajo
regalo papa noel niños de hoy,256014,alimentacion,False,synthetic,1,regalo papa noel niños de hoy monto:alto
prime video diciembre,17900,tecnologia,False,synthetic,1,prime video diciembre monto:bajo
arroz en bulto,78515,alimentacion,False,synthetic,1,arroz en bulto monto:medio
seguro vida febrero,120000,servicios,False,synthetic,1,seguro vida febrero monto:medio
ingreso tiktok ads,150000,ingreso_trabajo,False,synthetic,1,ingreso tiktok ads monto:alto
arriendo noviembre,1100000,servicios,False,synthetic,1,arriendo noviembre monto:alto
freelance desarrollo web,500000,ingreso_trabajo,False,synthetic,1,freelance desarrollo web monto:alto
recarga celular etb,9628,alimentacion,True,synthetic,1,recarga celular etb monto:bajo
helado de limón,2799,alimentacion,True,synthetic,1,helado de limón monto:bajo
gaseosa de espinaca,4689,alimentacion,True,synthetic,1,gaseosa de espinaca monto:bajo
transferencia de la mama,200000,ingreso_trabajo,False,synthetic,1,transferencia de la mama monto:alto
desayuno en mcdonald's,18000,alimentacion,True,synthetic,1,desayuno en mcdonald's monto:bajo
pension colegio junio,600000,servicios,False,synthetic,1,pension colegio junio monto:alto
seguro vida agosto,65000,servicios,False,synthetic,1,seguro vida agosto monto:medio
administración edificio junio,180000,servicios,False,synthetic,1,administración edificio junio monto:alto
taxi al la farmacia,23540,alimentacion,True,synthetic,1,taxi al la farmacia monto:bajo
cerveza pilsen con parce,8803,alimentacion,True,synthetic,1,cerveza pilsen con parce monto:bajo
frappuccino starbucks,22000,alimentacion,True,synthetic,1,frappuccino starbucks monto:bajo
venta carro,100000,ingreso_trabajo,False,synthetic,1,venta carro monto:medio
gym spinning club marzo,150000,tecnologia,False,synthetic,1,gym spinning club marzo monto:alto
ingreso uber driver diciembre,1400000,ingreso_trabajo,False,synthetic,1,ingreso uber driver diciembre monto:alto
parqueadero el puesto,13501,alimentacion,True,synthetic,1,parqueadero el puesto monto:bajo
lengua en salsa,30668,alimentacion,False,synthetic,1,lengua en salsa monto:medio
buseta a el éxito,2312,alimentacion,True,synthetic,1,buseta a el éxito monto:bajo
recibo acueducto octubre,88154,servicios,False,synthetic,1,recibo acueducto octubre monto:medio
cuota crédito nequi,750000,servicios,False,synthetic,1,cuota crédito nequi monto:alto
dristan,9000,alimentacion,True,synthetic,1,dristan monto:bajo
beca estudio abril,400000,ingreso_trabajo,False,synthetic,1,beca estudio abril monto:alto
buseta a la terminal,3208,alimentacion,True,synthetic,1,buseta a la terminal monto:bajo
mantequilla rama,8500,alimentacion,True,synthetic,1,mantequilla rama monto:bajo
picada con los parces,83403,alimentacion,True,synthetic,1,picada con los parces monto:medio
metro de las antes de almuerzo,3981,alimentacion,True,synthetic,1,metro de las antes de almuerzo monto:bajo
suscripcion app abril,35000,tecnologia,True,synthetic,1,suscripcion app abril monto:medio
comision enero,300000,ingreso_trabajo,False,synthetic,1,comision enero monto:alto
seguro vida marzo,85000,servicios,False,synthetic,1,seguro vida marzo monto:medio
tiquete latam bogota cali,189384,alimentacion,False,synthetic,1,tiquete latam bogota cali monto:alto
canva pro agosto,35000,tecnologia,True,synthetic,1,canva pro agosto monto:medio
tinto mañana,1443,alimentacion,True,synthetic,1,tinto mañana monto:bajo
seguro soat noviembre,45000,servicios,False,synthetic,1,seguro soat noviembre monto:medio
taxi al centro,12000,alimentacion,True,synthetic,1,taxi al centro monto:bajo
licuadora,127636,alimentacion,False,synthetic,1,licuadora monto:medio
pizza dominos,56339,alimentacion,False,synthetic,1,pizza dominos monto:medio
ingreso vendedor ambulante,800000,ingreso_trabajo,False,synthetic,1,ingreso vendedor ambulante monto:alto
suscripcion app septiembre,9900,tecnologia,True,synthetic,1,suscripcion app septiembre monto:bajo
netflix familiar enero,17900,tecnologia,False,synthetic,1,netflix familiar enero monto:bajo
propina domicilio,3769,alimentacion,True,synthetic,1,propina domicilio monto:bajo
subsidio familiar icbf,400000,ingreso_trabajo,False,synthetic,1,subsidio familiar icbf monto:alto
venta mercado libre noviembre,200000,ingreso_trabajo,False,synthetic,1,venta mercado libre noviembre monto:alto
honorarios traducciones febrero,2000000,ingreso_trabajo,False,synthetic,1,honorarios traducciones febrero monto:alto
insulina diabetes,250000,servicios,False,synthetic,1,insulina diabetes monto:alto
recibo luz marzo,80185,servicios,False,synthetic,1,recibo luz marzo monto:medio
nomina marzo,2500000,ingreso_trabajo,False,synthetic,1,nomina marzo monto:alto
panetón navideño,43441,alimentacion,False,synthetic,1,panetón navideño monto:medio
picada con los parces,64535,alimentacion,True,synthetic,1,picada con los parces monto:medio
concierto maluma semanal,343342,alimentacion,False,synthetic,1,concierto maluma semanal monto:alto
remesas exterior julio,1000000,ingreso_trabajo,False,synthetic,1,remesas exterior julio monto:alto
ingreso plataforma digital octubre,100000,ingreso_trabajo,False,synthetic,1,ingreso plataforma digital octubre monto:medio
indriver al la casa,13678,alimentacion,True,synthetic,1,indriver al la casa monto:bajo
mercado en ara mensual semanal,253924,alimentacion,False,synthetic,1,mercado en ara mensual semanal monto:alto
canva pro abril,65000,tecnologia,True,synthetic,1,canva pro abril monto:medio
toner impresora,163937,alimentacion,False,synthetic,1,toner impresora monto:alto
pension universidad diciembre,1800000,servicios,False,synthetic,1,pension universidad diciembre monto:alto
mercado a los papás,132342,alimentacion,False,synthetic,1,mercado a los papás monto:medio
clases de ingles abril,250000,tecnologia,False,synthetic,1,clases de ingles abril monto:alto
icloud 5gb diciembre,7900,tecnologia,True,synthetic,1,icloud 5gb diciembre monto:bajo
uber desde el aeropuerto,29796,alimentacion,True,synthetic,1,uber desde el aeropuerto monto:bajo
pension colegio agosto,350000,servicios,False,synthetic,1,pension colegio agosto monto:alto
tenis adidas,280684,alimentacion,False,synthetic,1,tenis adidas monto:alto
cajita feliz,22000,alimentacion,True,synthetic,1,cajita feliz monto:bajo
quincena junio,2000000,ingreso_trabajo,False,synthetic,1,quincena junio monto:alto
arriendo octubre,650000,servicios,False,synthetic,1,arriendo octubre monto:alto
regalo quince años quincenal,281386,alimentacion,False,synthetic,1,regalo quince años quincenal monto:alto
ingreso plataforma digital febrero,500000,ingreso_trabajo,False,synthetic,1,ingreso plataforma digital febrero monto:alto
devolución iva abril,300000,ingreso_trabajo,False,synthetic,1,devolución iva abril monto:alto
adobe noviembre,89000,tecnologia,False,synthetic,1,adobe noviembre monto:medio
lotería lunes,4702,alimentacion,True,synthetic,1,lotería lunes monto:bajo
ahorro programado bancolombia,300000,ingreso_trabajo,False,synthetic,1,ahorro programado bancolombia monto:alto
cuota hipoteca nequi,900000,servicios,False,synthetic,1,cuota hipoteca nequi monto:alto
pension colegio marzo,350000,servicios,False,synthetic,1,pension colegio marzo monto:alto
desayuno jueves,15086,alimentacion,True,synthetic,1,desayuno jueves monto:bajo
mercado en carulla,355022,alimentacion,False,synthetic,1,mercado en carulla monto:alto
recibo del acueducto,65000,servicios,False,synthetic,1,recibo del acueducto monto:medio
lotería miércoles,2014,alimentacion,True,synthetic,1,lotería miércoles monto:bajo
seguro soat febrero,65000,servicios,False,synthetic,1,seguro soat febrero monto:medio
clases de ingles septiembre,180000,tecnologia,False,synthetic,1,clases de ingles septiembre monto:alto
pension universidad marzo,900000,servicios,False,synthetic,1,pension universidad marzo monto:alto
ropa interior tennis,101621,alimentacion,False,synthetic,1,ropa interior tennis monto:medio
recarga movistar,20000,alimentacion,True,synthetic,1,recarga movistar monto:bajo
viaje a cartagena,708370,alimentacion,False,synthetic,1,viaje a cartagena monto:alto
reparacion grifo baño,85000,servicios,False,synthetic,1,reparacion grifo baño monto:medio
venta electrodoméstico,800000,ingreso_trabajo,False,synthetic,1,venta electrodoméstico monto:alto
globos y decoracion,42340,alimentacion,False,synthetic,1,globos y decoracion monto:medio
playstation plus agosto,19900,tecnologia,False,synthetic,1,playstation plus agosto monto:bajo
netflix estudiante octubre,17900,tecnologia,False,synthetic,1,netflix estudiante octubre monto:bajo
arroz de mariscos,59428,alimentacion,False,synthetic,1,arroz de mariscos monto:medio
rappi prime octubre,17900,tecnologia,True,synthetic,1,rappi prime octubre monto:bajo
recarga celular claro,10323,alimentacion,True,synthetic,1,recarga celular claro monto:bajo
recarga celular movistar,9410,alimentacion,True,synthetic,1,recarga celular movistar monto:bajo
revisión carro taller,250000,servicios,False,synthetic,1,revisión carro taller monto:alto
pago eps mayo,145000,servicios,False,synthetic,1,pago eps mayo monto:medio
cuota crédito itaú,750000,servicios,False,synthetic,1,cuota crédito itaú monto:alto
pension universidad junio,1800000,servicios,False,synthetic,1,pension universidad junio monto:alto
helado de arequipe,7620,alimentacion,True,synthetic,1,helado de arequipe monto:bajo
tenis nike,352538,alimentacion,False,synthetic,1,tenis nike monto:alto
ingreso plataforma digital octubre,100000,ingreso_trabajo,False,synthetic,1,ingreso plataforma digital octubre monto:medio
almuerzo sábado,16663,alimentacion,True,synthetic,1,almuerzo sábado monto:bajo
tenis adidas,320000,alimentacion,False,synthetic,1,tenis adidas monto:alto
materiales universidad,137803,alimentacion,False,synthetic,1,materiales universidad monto:medio
almuerzo domingo,13101,alimentacion,True,synthetic,1,almuerzo domingo monto:bajo
lotería jueves,3745,alimentacion,True,synthetic,1,lotería jueves monto:bajo
youtube premium abril,14900,tecnologia,False,synthetic,1,youtube premium abril monto:bajo
camisa en studio f,169721,alimentacion,False,synthetic,1,camisa en studio f monto:alto
plan celular wom,55000,servicios,False,synthetic,1,plan celular wom monto:medio
airpods para la casa,1054635,alimentacion,False,synthetic,1,airpods para la casa monto:alto
internet movistar febrero,89900,servicios,False,synthetic,1,internet movistar febrero monto:medio
honorarios asesoría marzo,3000000,ingreso_trabajo,False,synthetic,1,honorarios asesoría marzo monto:alto
chontaduro en la playa,5000,alimentacion,True,synthetic,1,chontaduro en la playa monto:bajo
libro fisico libreria,41887,alimentacion,False,synthetic,1,libro fisico libreria monto:medio
mecato del medio día,4185,alimentacion,True,synthetic,1,mecato del medio día monto:bajo
spotify personal noviembre,26900,tecnologia,True,synthetic,1,spotify personal noviembre monto:bajo
lonchera del niño sábado,13119,alimentacion,True,synthetic,1,lonchera del niño sábado monto:bajo
desayuno jueves,12616,alimentacion,True,synthetic,1,desayuno jueves monto:bajo
devolución iva diciembre,150000,ingreso_trabajo,False,synthetic,1,devolución iva diciembre monto:alto
netflix familiar,29900,tecnologia,False,synthetic,1,netflix familiar monto:bajo
seguro vida enero,65000,servicios,False,synthetic,1,seguro vida enero monto:medio
cafe en juan valdez,12144,alimentacion,True,synthetic,1,cafe en juan valdez monto:bajo
alquiler de sillas y mesas,180000,alimentacion,False,synthetic,1,alquiler de sillas y mesas monto:alto
cuota tarjeta banco de bogotá,200000,servicios,False,synthetic,1,cuota tarjeta banco de bogotá monto:alto
minecraft mensual,18500,tecnologia,True,synthetic,1,minecraft mensual monto:bajo
propina domicilio,3335,alimentacion,True,synthetic,1,propina domicilio monto:bajo
administración edificio enero,150000,servicios,False,synthetic,1,administración edificio enero monto:alto
gym spinning club marzo,150000,tecnologia,False,synthetic,1,gym spinning club marzo monto:alto
recarga celular wom,25489,alimentacion,True,synthetic,1,recarga celular wom monto:bajo
empanada de pipian,2000,alimentacion,True,synthetic,1,empanada de pipian monto:bajo
papa al por mayor,25000,alimentacion,False,synthetic,1,papa al por mayor monto:bajo
transferencia familia septiembre,300000,ingreso_trabajo,False,synthetic,1,transferencia familia septiembre monto:alto
raspa y gana,9147,alimentacion,True,synthetic,1,raspa y gana monto:bajo
sueldo part time diciembre,1200000,ingreso_trabajo,False,synthetic,1,sueldo part time diciembre monto:alto
maquina de afeitar,180000,alimentacion,False,synthetic,1,maquina de afeitar monto:alto
freelance diseño,1000000,ingreso_trabajo,False,synthetic,1,freelance diseño monto:alto
domicilio domicilios.com cena,36682,alimentacion,True,synthetic,1,domicilio domicilios.com cena monto:medio
arriendo octubre,1100000,servicios,False,synthetic,1,arriendo octubre monto:alto
xbox game pass abril,19900,tecnologia,False,synthetic,1,xbox game pass abril monto:bajo
bono fin de semana,150000,ingreso_trabajo,False,synthetic,1,bono fin de semana monto:alto
internet etb bogota,75000,servicios,False,synthetic,1,internet etb bogota monto:medio
administración edificio diciembre,180000,servicios,False,synthetic,1,administración edificio diciembre monto:alto
frutas en el mercado,47634,alimentacion,False,synthetic,1,frutas en el mercado monto:medio
seguro vida noviembre,85000,servicios,False,synthetic,1,seguro vida noviembre monto:medio
internet tigo agosto,79900,servicios,False,synthetic,1,internet tigo agosto monto:medio
rendimientos cdts,85000,ingreso_trabajo,False,synthetic,1,rendimientos cdts monto:medio
papas salchipapa sábado,11987,alimentacion,True,synthetic,1,papas salchipapa sábado monto:bajo
blender oster,181395,alimentacion,False,synthetic,1,blender oster monto:alto
vpn familia mensual,35000,tecnologia,True,synthetic,1,vpn familia mensual monto:medio
honorarios marketing abril,800000,ingreso_trabajo,False,synthetic,1,honorarios marketing abril monto:alto
sudadera para el gym,136388,alimentacion,False,synthetic,1,sudadera para el gym monto:medio
dividendos gruposura,250000,ingreso_trabajo,False,synthetic,1,dividendos gruposura monto:alto
libro fisico libreria para el trabajo,37712,alimentacion,False,synthetic,1,libro fisico libreria para el trabajo monto:medio
